"PRJID","num_issues","num_HighImpact","num_ModImpact","num_LowImpact"
"PRJ0001",9,5,3,1
"PRJ0002",7,3,2,2
"PRJ0003",5,2,2,1
"PRJ0004",0,0,0,0
"PRJ0005",1,0,1,0
"PRJ0006",0,0,0,0
"PRJ0007",6,2,3,1
"PRJ0008",9,4,4,1
"PRJ0009",0,0,0,0
"PRJ0010",0,0,0,0
"PRJ0011",13,1,9,3
"PRJ0012",11,0,5,6
"PRJ0013",21,7,12,2
"PRJ0014",7,4,3,0
"PRJ0015",6,5,1,0
"PRJ0016",11,3,5,3
"PRJ0017",8,4,3,1
"PRJ0018",5,4,1,0
"PRJ0019",58,8,27,23
"PRJ0020",21,14,7,0
"PRJ0021",0,0,0,0
"PRJ0022",20,20,0,0
"PRJ0023",4,3,1,0
"PRJ0024",0,0,0,0
"PRJ0025",36,8,16,12
"PRJ0026",3,0,2,1
"PRJ0027",3,3,0,0
"PRJ0028",6,0,3,3
"PRJ0029",4,3,1,0
"PRJ0030",60,40,13,7
"PRJ0031",3,1,2,0
"PRJ0032",2,2,0,0
"PRJ0033",0,0,0,0
"PRJ0034",0,0,0,0
"PRJ0035",7,7,0,0
"PRJ0036",12,0,3,9
"PRJ0037",3,2,1,0
"PRJ0038",12,3,7,2
"PRJ0039",4,0,0,4
"PRJ0040",1,0,1,0
"PRJ0041",0,0,0,0
"PRJ0042",0,0,0,0
"PRJ0043",2,1,1,0
"PRJ0044",0,0,0,0
"PRJ0045",44,8,11,25
"PRJ0046",12,10,0,2
"PRJ0047",6,2,0,4
"PRJ0048",0,0,0,0
"PRJ0049",5,0,5,0
"PRJ0050",16,11,2,3
"PRJ0051",0,0,0,0
"PRJ0052",0,0,0,0
"PRJ0053",10,0,0,10
"PRJ0054",12,2,8,2
"PRJ0055",0,0,0,0
"PRJ0056",12,3,5,4
"PRJ0057",7,4,1,2
"PRJ0058",4,0,0,4
"PRJ0059",0,0,0,0
"PRJ0060",0,0,0,0
"PRJ0061",1,0,0,1
"PRJ0062",0,0,0,0
"PRJ0063",1,0,1,0
"PRJ0064",1,0,0,1
"PRJ0065",0,0,0,0
"PRJ0066",1,0,0,1
"PRJ0067",2,0,0,2
"PRJ0068",0,0,0,0
"PRJ0069",6,4,2,0
"PRJ0070",0,0,0,0
"PRJ0071",7,5,1,1
"PRJ0072",1,0,1,0
"PRJ0073",1,0,1,0
"PRJ0074",0,0,0,0
"PRJ0075",0,0,0,0
"PRJ0076",0,0,0,0
"PRJ0077",0,0,0,0
"PRJ0078",5,5,0,0
"PRJ0079",0,0,0,0
"PRJ0080",2,1,0,1
"PRJ0081",15,4,4,7
"PRJ0082",3,2,1,0
"PRJ0083",2,1,0,1
"PRJ0084",2,1,0,1
"PRJ0085",0,0,0,0
"PRJ0086",3,1,0,2
"PRJ0087",1,0,0,1
"PRJ0088",8,5,2,1
"PRJ0089",0,0,0,0
"PRJ0090",0,0,0,0
"PRJ0091",1,1,0,0
"PRJ0092",2,0,1,1
"PRJ0093",2,0,1,1
"PRJ0094",0,0,0,0
"PRJ0095",0,0,0,0
"PRJ0096",0,0,0,0
"PRJ0097",38,1,13,24
"PRJ0098",0,0,0,0
"PRJ0099",1,1,0,0
"PRJ0100",0,0,0,0
"PRJ0101",0,0,0,0
"PRJ0102",5,2,3,0
"PRJ0103",10,4,4,2
"PRJ0104",0,0,0,0
"PRJ0105",5,0,0,5
"PRJ0106",0,0,0,0
"PRJ0107",6,0,3,3
"PRJ0108",2,1,0,1
"PRJ0109",0,0,0,0
"PRJ0110",11,0,1,10
"PRJ0111",1,0,1,0
"PRJ0112",1,1,0,0
"PRJ0113",4,0,3,1
"PRJ0114",2,0,1,1
"PRJ0115",0,0,0,0
"PRJ0116",13,8,4,1
"PRJ0117",1,0,1,0
"PRJ0118",3,0,2,1
"PRJ0119",13,0,8,5
"PRJ0120",0,0,0,0
"PRJ0121",37,17,13,7
"PRJ0122",0,0,0,0
"PRJ0123",1,0,0,1
"PRJ0124",10,9,0,1
"PRJ0125",3,1,1,1
"PRJ0126",0,0,0,0
"PRJ0127",0,0,0,0
"PRJ0128",0,0,0,0
"PRJ0129",1,0,0,1
"PRJ0130",0,0,0,0
"PRJ0131",13,9,2,2
"PRJ0132",1,1,0,0
"PRJ0133",17,2,5,10
"PRJ0134",0,0,0,0
