"PRJID","num_risks","num_HighImpact","num_MedImpact","num_LowImpact","num_HighProb","num_ModProb","num_LowProb","num_MitResp","num_AccResp","num_AvdResp","num_TrnResp","num_ScpType","num_SchType","num_FinType"
"PRJ0001",27,13,3,11,17,8,2,13,12,2,0,17,8,2
"PRJ0002",15,9,3,3,4,8,3,5,10,0,0,1,12,2
"PRJ0003",15,5,9,1,5,6,4,9,2,4,0,6,9,0
"PRJ0004",8,4,4,0,0,4,4,5,3,0,0,1,6,1
"PRJ0005",7,2,5,0,1,5,1,5,0,2,0,4,3,0
"PRJ0006",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRJ0007",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRJ0008",47,38,4,5,36,7,4,34,12,1,0,34,13,0
"PRJ0009",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRJ0010",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRJ0011",6,1,4,1,3,2,1,3,2,1,0,1,5,0
"PRJ0012",6,3,3,0,1,3,2,2,4,0,0,2,4,0
"PRJ0013",16,7,8,1,9,6,1,14,0,2,0,2,13,1
"PRJ0014",30,21,8,1,18,7,5,9,21,0,0,10,18,2
"PRJ0015",21,8,11,2,2,9,10,8,8,4,1,11,9,1
"PRJ0016",27,15,7,5,11,8,8,13,12,2,0,4,23,0
"PRJ0017",4,1,3,0,0,2,2,3,1,0,0,0,3,1
"PRJ0018",8,4,4,0,0,2,6,3,5,0,0,4,4,0
"PRJ0019",82,9,31,42,30,20,32,36,41,5,0,45,35,2
"PRJ0020",66,22,13,31,13,22,31,25,34,6,1,39,26,1
"PRJ0021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRJ0022",32,30,2,0,25,6,1,11,19,2,0,23,8,1
"PRJ0023",1,0,1,0,0,1,0,0,0,1,0,0,1,0
"PRJ0024",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRJ0025",22,5,15,2,3,17,2,13,4,5,0,4,18,0
